state (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	0.9212903802802717	0.04724222715030204	0.02776385183258354	0.0	0.0	0.0022417049838522607	1.3391508366900997E-4	5.758420150840869E-4	0.0	0.0	0.0	7.438827000436167E-4	0.0	8.195954193750182E-6
2	0.15836226112204824	0.7547171916740408	0.0	0.0030045737292233115	0.01791338948670395	0.0475783555588132	0.015546243696074429	8.428664905853299E-4	0.0	0.0012076135509105365	0.0	5.193565663540228E-4	9.823880626906008E-5	2.0990931897690333E-4
3	0.005142758232169387	0.0	0.9616623122443113	0.0	0.010689079969832425	0.01471614025944334	4.558601384665472E-5	0.001733059016491867	5.967732154627053E-5	1.5812663807932277E-4	6.092955103853318E-4	0.003351177260753079	4.583663621103593E-5	0.0017869508969299945
4	0.0	0.008659096073200511	0.0	0.6470500408105236	0.12354092379507797	0.0423572967178562	0.02941793404541414	0.0	0.002018845074513991	0.14143159845454722	0.0	0.005524265028866365	0.0	0.0
5	0.0	0.006575743539620844	0.07707533703225533	0.017728902940238565	0.6347812420972796	0.23503177506747555	0.019423726543991167	0.003982967447270331	0.0	0.0	6.684158575076751E-4	8.851687717700296E-4	0.0013699499753218277	0.0024767707272692033
6	0.0018685387016897361	0.011040644208264842	0.061280029069637636	0.003982009229623991	0.13913828500638875	0.7533161440619812	0.0025855969673096407	0.00771585289560482	0.0	0.004735079728609742	0.012449787987001883	0.0016281282971789784	0.0	2.5990384670883447E-4
7	9.684937679813076E-4	0.04018070072112795	0.0011950386037787	0.031175816634912173	0.12313883761545115	0.03060391979022671	0.6699541546405524	0.049839416629555884	0.0471517481414464	0.0	0.0	4.4633105776831157E-4	0.005345542397199097	0.0
8	0.0032538141257907613	0.0021617834858478485	0.06269715116873706	0.0	0.02415079495046578	0.06866239187341919	0.03992521216541694	0.6218398602387928	0.11747755643338582	0.0	0.03572266728972123	0.0028391997151661504	0.019071450640092125	0.0021981179131641865
9	0.0	0.0	0.0032556761181526846	0.0019984193858264337	0.0	0.0	0.04589185206836889	0.14589810239864343	0.7684357961449302	0.028365438085053256	0.0018548349516698183	0.0016993413185055271	0.0026005395288497767	0.0
10	5.894761692919886E-4	0.003350396192947318	0.011427329416327512	0.20179315430640465	3.449880752800852E-8	0.07842193319849122	0.011410965208642638	0.0	0.0424028838230269	0.6321204758277986	0.0016094230507945238	0.016873928307467086	0.0	0.0
11	0.0	0.0	1.9773890592270532E-4	0.0	4.7142820602048576E-5	0.0010288966976637621	0.0	3.264043871295777E-4	1.8072841641541602E-5	5.45314084021711E-6	0.9968571391767744	0.0013483027217552008	1.9054857339181623E-5	1.517944503315021E-4
12	0.0031364343606455807	9.290929744001779E-4	0.07409685134244566	0.002934008221019931	0.003200119135472483	0.008119969404245074	7.570590607514972E-5	0.0019054779645090202	8.884058126055404E-4	0.004888282428000747	0.08800536310951444	0.8105976445491737	0.0010509459645805374	1.7169882731205024E-4
13	1.2521692990948987E-4	1.7869890459680447E-4	0.0021826871938537993	0.0	0.015315020729785715	2.530219755149266E-5	0.006959088940228755	0.030244187828542442	0.00469449594325914	0.0	0.004960640423943351	0.0025374687944521523	0.8053852144457676	0.12739197766810914
14	1.1388128381397359E-4	2.6947333623180965E-4	0.05987449036165314	0.0	0.01027946733356042	0.0029480736256086194	1.565482592992016E-4	0.00264905937075034	0.0	0.0	0.013796733384807271	2.4788234556587496E-4	0.061305169262185356	0.8483592214365241
